10000 50000
568 3159 699
771 2826 433
4075 8942 8
2602 9771 285
5554 3373 418
9495 5941 482
4803 3532 367
1549 4305 756
6908 278 881
5102 6993 420
8248 2131 767
1699 6287 956
2298 6376 220
9593 1867 226
5227 9675 922
5332 6556 428
4704 7448 519
2646 7188 38
413 3090 756
6349 9137 426
3391 3793 328
4992 2097 446
2236 6193 974
4556 9559 556
5650 339 510
9303 7633 241
2219 2268 538
2666 8944 24
3289 8559 969
4077 2686 74
7905 9728 856
2809 5031 253
2197 7745 243
8977 9862 300
692 1065 855
3486 6412 377
6645 5645 662
6208 4683 839
1926 8386 6
2065 6842 669
2176 1277 208
9592 8522 483
3040 8673 909
4195 2539 486
7858 7417 460
1487 7176 466
2189 626 39
9263 5917 110
2651 7464 474
4900 3795 915
5146 2578 138
3269 3766 354
6646 2471 272
148 1879 885
6908 6111 210
819 3317 181
3815 2872 26
1456 6015 456
7329 831 154
3525 2522 182
696 2574 608
2653 8830 154
7227 4495 603
7839 6729 101
4420 5462 670
2460 6285 57
9962 1181 474
8088 9498 260
8357 7992 553
7899 6407 797
3705 1064 172
2217 1732 36
6634 1294 632
781 5891 288
2954 5558 652
2599 8538 589
109 2628 704
7046 1825 217
5413 7110 736
7278 2022 371
6900 4081 44
7594 5736 125
9567 4008 512
6607 6484 661
4356 3701 572
9910 1663 455
4615 6538 984
363 8865 472
7278 6692 972
5295 9481 130
5782 2901 319
1200 6261 36
7092 7218 472
3146 1622 733
2983 5496 736
5059 3982 77
1740 6751 238
8796 3943 807
612 451 47
2432 1070 85
968 2005 355
2515 1856 3
5539 6102 992
1359 1655 624
7396 4641 722
7700 2117 61
3664 5883 749
9463 133 297
2529 607 354
1575 7246 381
9531 5970 997
7767 3645 995
8977 5593 454
4721 2844 284
2565 1452 468
2786 5988 299
6707 5969 106
7680 9216 358
8262 1194 480
5820 2881 268
6561 2045 108
4348 952 151
9794 9799 577
8867 6279 35
1175 4370 497
8237 2509 417
1997 2371 836
9760 413 189
2710 6693 209
8392 5114 677
9996 7554 113
4414 6480 373
7337 3070 564
1678 1359 976
1677 3637 98
8169 1755 882
8390 3038 662
3910 1719 513
9464 1960 534
283 2020 705
104 6515 40
1290 1061 504
5255 2412 775
9076 954 448
9996 6633 312
3104 8149 337
8260 5429 256
1176 1518 355
5387 6020 684
4378 2962 433
5137 2167 546
846 3439 626
1767 2124 738
7745 6547 128
6813 2060 128
6038 6473 458
5912 9704 706
5981 4219 920
8869 362 529
1643 3807 660
3768 7774 464
24 6352 589
7928 387 861
9337 4392 939
7981 2058 300
4532 5899 414
4143 2173 395
1281 8568 474
1431 2845 875
4107 721 451
2651 8084 1
9659 5599 278
6554 6537 19
4390 7712 233
6609 1708 829
8875 6583 175
1725 4778 2
7936 6189 410
4931 8444 475
5784 1161 141
818 4391 40
1835 909 464
4768 6071 839
2889 8305 353
6424 6457 245
2979 9427 459
8446 2205 221
5169 2355 418
5776 7147 125
4723 8441 897
1510 306 406
8045 8876 858
9244 9892 659
2533 5712 254
1153 526 837
7147 4013 200
3230 865 914
1134 3276 884
8273 4741 986
8654 8325 279
3455 7831 171
5818 1115 405
4145 2232 262
2367 6654 543
1565 7879 779
1060 2295 695
8160 1963 351
7558 2858 75
5514 2243 684
1704 8540 264
2252 3912 846
5258 8015 179
7698 9872 839
1100 8954 339
2763 7893 446
7653 2176 634
877 3053 255
7613 5950 337
7695 9202 295
3357 7212 627
3974 4419 936
951 909 875
1146 7574 795
3486 7260 208
281 4813 993
7591 4451 872
6111 1530 936
5196 633 940
9379 715 152
9060 4715 594
9946 5510 15
9271 4187 394
6518 9170 596
6635 9166 926
4562 1595 12
5056 8745 629
9099 3239 968
2395 9488 588
2254 2417 38
2076 733 257
3373 3115 597
8033 4441 76
7893 2 207
118 1254 746
1155 5049 672
5205 2576 354
810 8215 496
9099 3907 941
8893 6254 774
2036 9518 443
2790 1234 606
2336 2110 396
9682 7497 252
8672 8018 24
2311 1436 529
1814 295 278
4216 7251 748
2469 3632 435
633 6176 407
5474 4546 470
8693 2784 452
4029 8254 928
5588 8711 291
7606 6242 594
5029 9912 511
2519 7105 358
6982 5350 603
84 5975 263
9084 4640 161
7012 1861 551
81 6837 625
405 6390 516
6893 1660 63
5074 172 116
8151 4098 521
6596 3367 957
6123 7993 829
3629 680 445
8372 4918 851
7745 4820 657
5520 582 819
2243 1195 783
6124 165 67
8483 9727 798
6348 3379 113
38 8509 919
1782 1228 175
2366 708 851
9664 8253 746
1736 1983 959
9481 919 920
7382 4897 470
7706 4809 183
3746 2592 678
3237 1409 965
1922 8738 176
1283 511 124
6726 1437 69
3108 9120 971
613 1297 702
2950 6825 96
1670 4333 864
610 1824 512
6009 173 162
19 6781 408
2117 3517 914
1786 7263 97
7261 4618 826
740 3335 756
5068 1753 492
8226 7017 577
2368 393 918
4767 2427 718
1520 7387 319
7017 2613 405
8351 4984 344
3389 5626 719
7491 712 312
6255 6351 38
1036 9228 232
1433 1811 588
1095 8040 948
2645 4200 733
7728 1374 989
1692 5548 640
666 8774 740
406 6268 85
4275 1155 811
7160 1601 883
8111 1865 683
7109 2210 173
1049 2671 338
3635 1100 971
650 9713 215
1656 7881 907
1679 9356 187
2886 4790 41
2975 5460 484
6181 2545 137
4855 1351 361
4646 3965 598
4668 3867 943
924 8056 546
2769 267 542
7457 8359 111
7059 2168 338
8948 4407 772
3130 1649 307
1724 7750 502
1612 1914 291
6362 4573 924
9210 9671 868
3916 3789 722
9083 3540 2
1510 906 454
2424 1440 603
4659 4786 817
5390 202 187
6223 8783 507
4977 1597 228
2429 5684 620
3899 2365 617
81 8676 920
9370 4137 394
42 9792 915
1912 3160 396
3277 7273 987
5697 8138 33
6910 3871 914
8138 1258 940
9490 2209 192
9531 453 243
6215 6562 427
6786 1286 726
8634 5485 60
7002 2082 558
2302 2352 181
581 1113 151
631 2294 137
8654 4034 326
3777 5360 285
4972 5148 424
9886 957 147
2062 3853 192
3856 227 139
1532 4490 673
1620 7910 578
327 1409 487
9349 3332 96
3270 8163 729
359 7282 56
2596 631 531
7513 9906 638
8609 5649 541
48 1789 508
6494 7511 159
2580 717 448
2631 2186 911
4375 632 663
7367 7646 353
4164 2384 58
9854 2135 345
5719 2199 702
6082 9357 448
8097 3294 243
5000 2323 874
8531 8510 697
2453 6566 985
4831 7488 425
2174 4071 792
9400 536 891
2626 6994 874
709 9550 53
2121 5173 847
6852 4472 219
5794 7750 851
8653 1805 377
2641 99 74
982 8532 953
2163 5367 186
2781 7480 326
8873 6297 255
7496 158 291
9492 218 343
4116 8818 858
2362 3166 152
6426 5733 585
7983 3456 288
392 8251 321
9200 4959 368
4400 6957 584
9783 5937 557
4606 6097 515
5970 6353 91
8573 7674 692
3938 1576 783
3371 2889 437
2102 5945 825
1105 243 537
3689 2446 517
9531 9790 652
1989 9625 620
5056 1541 242
1229 1467 255
6879 2442 790
4059 3565 640
596 3077 458
7628 1498 710
5291 3843 282
6674 9381 107
7302 2539 315
1606 715 540
7936 2856 515
448 8901 526
3928 9707 45
9049 318 737
134 4380 976
8110 7867 706
6630 2213 456
4036 413 502
6894 2258 912
4458 9232 551
3341 7008 901
1530 3531 197
5014 7114 171
2703 2610 289
4220 1315 73
7173 1164 888
4926 9563 403
4564 3472 660
154 1093 626
2909 7076 66
2170 4386 211
8547 9559 251
1559 8006 519
1449 3395 604
6455 7178 568
5467 4252 523
6070 1405 850
5814 464 313
8643 6301 479
9032 1786 629
6906 8915 521
5894 933 756
3767 3338 135
994 7086 172
3728 9984 348
5675 6747 464
3048 5959 1000
4404 8672 180
9469 3845 9
2261 134 352
5934 1930 827
3230 644 348
41 5450 38
4984 2340 577
5588 6019 459
6333 3873 613
220 1178 877
2801 2721 5
8848 4092 923
6377 1345 636
23 7067 750
9499 3038 761
1940 9348 769
7663 5466 557
2564 770 473
3213 339 657
6806 696 459
3009 9051 625
4930 1383 418
4087 3105 723
5932 6547 208
9643 1034 593
8587 8629 242
7981 1740 106
9035 8296 514
4423 9852 539
4280 646 738
7571 552 29
8225 2029 482
9860 1542 108
5143 7997 18
4905 7683 991
1169 1947 299
4019 7188 359
5579 7011 851
9081 8435 215
6111 9732 355
5971 7383 990
1060 70 721
4176 6929 739
5500 5508 174
2445 3891 112
1135 7007 732
9402 7077 482
7618 4620 765
754 2136 970
5889 2659 136
9393 4867 983
9571 5418 694
8100 7665 944
5983 7772 691
8279 1413 381
2271 2125 949
4034 6811 437
833 9097 342
5457 3242 463
2932 3656 747
6633 1320 305
744 5252 23
5655 1407 383
618 6773 53
8695 2868 52
4620 2947 149
1626 5900 634
2222 5245 560
82 4742 521
9882 6482 237
5478 5889 314
1487 8117 146
6329 8043 908
6461 2783 412
7593 2242 461
8439 3867 100
6889 2254 391
4460 2582 61
9586 97 484
3099 7554 486
4836 332 178
1812 1246 500
3661 2858 446
9590 330 434
7532 9382 657
279 932 628
4174 3236 782
2354 6915 30
3334 5847 395
756 1414 501
7788 7781 531
1688 9140 787
5502 7961 864
9895 6355 210
7409 4214 159
3066 7944 122
725 6082 58
1956 4498 113
6719 3704 866
1918 8552 465
5586 8772 480
3424 7024 59
2389 7399 824
8972 143 666
2184 3333 344
2000 7790 38
3987 7661 673
8267 250 500
5813 3771 651
8741 8298 800
5275 2697 543
168 142 765
9756 3387 125
2006 9485 838
8169 6274 582
8744 2671 1000
8387 8611 581
4944 1286 765
4116 8885 799
8767 7742 322
1503 5302 721
699 1429 288
4613 6550 845
1969 4419 818
2590 6903 943
751 7643 347
4103 8038 740
3529 1772 177
3062 585 736
9206 9360 47
1888 3329 567
5655 2389 568
9452 2630 454
9987 4629 917
3520 2587 378
6479 4952 825
3912 1165 528
5714 11 880
8936 3802 711
8783 3991 872
9000 7057 707
1569 7027 445
1021 2407 653
5728 1784 210
5426 2303 779
7839 616 613
6941 4849 685
2112 7937 173
8655 4879 402
7651 7627 70
1473 66 823
1982 8836 242
8100 6606 393
9936 1438 855
212 8517 6
7478 1261 952
1442 4859 213
1174 5635 682
2499 1639 959
5087 3594 482
1184 4512 181
9820 6229 205
3478 7549 520
3731 5530 347
4280 4786 137
3899 5351 452
6365 3541 823
1503 6330 544
256 6492 253
5342 9117 496
2655 3521 744
8059 988 406
987 6920 550
5545 8937 996
8560 9217 483
6267 3752 509
127 2351 436
375 1559 106
8641 4400 654
9046 8184 900
8312 8370 754
2151 8810 16
637 3713 927
9285 6303 286
9981 5465 250
6361 2952 776
3505 5962 517
656 6922 925
9281 3660 220
9573 2451 967
379 2400 864
3173 3386 149
6174 271 817
4172 251 430
2471 9685 502
1786 7777 211
7421 8834 99
34 849 967
2214 9279 455
2196 8235 127
1721 7465 103
5547 5693 177
2768 8522 772
2904 2623 223
4453 7753 814
4885 9794 494
1724 8976 692
3393 263 662
4971 4771 345
9301 5680 716
6573 5751 983
7634 3724 52
3783 3317 139
7206 9292 810
1488 923 167
1390 885 190
2371 8014 316
8639 3931 213
820 7244 643
9910 2450 704
2549 258 915
2132 7509 691
2089 5707 950
1106 1300 530
3638 9007 556
2335 8551 447
7260 3600 192
354 7184 264
7140 717 11
9343 8377 574
610 7439 92
759 3733 582
2714 3740 615
2384 7842 720
4307 8284 626
1629 4074 371
5135 6298 770
6044 969 642
2601 2764 382
2139 7403 444
8365 612 312
2307 8334 267
4218 1341 536
1933 5893 428
3475 143 471
422 6360 933
3234 4184 278
5825 6272 842
558 4662 711
8522 1552 909
357 5733 15
688 4381 419
5203 3957 658
3882 5822 382
4692 1102 162
1790 4897 592
320 2294 565
1308 1940 338
6413 4776 103
7013 8369 538
3684 1500 488
3321 2488 122
2120 3663 924
8351 3294 300
4940 6478 651
1606 4581 119
6944 8369 507
2978 4307 290
1376 9958 330
1560 3892 953
1535 8588 105
1584 5901 712
7086 8585 403
1239 1319 863
2462 1388 939
3038 7051 293
2246 552 533
2721 7367 63
7804 3983 748
772 2487 601
965 7320 43
5761 2207 569
6028 3643 866
8870 5811 892
6581 7486 681
7633 777 230
4580 6754 963
6018 8071 848
3029 7055 574
7789 3207 70
4835 931 42
3611 4202 456
9286 134 556
4009 6101 657
2802 2213 663
4644 336 451
1239 5574 101
1429 6910 181
7759 9343 142
8272 7780 419
4577 5714 350
2815 5596 137
9895 8618 398
8696 6662 866
3509 4442 240
6570 8420 801
8530 6650 949
5246 7814 535
8629 5209 53
7261 5264 690
6452 6666 979
4001 5265 676
1777 6636 944
1502 1503 407
8081 3735 260
7377 860 875
771 7620 392
2271 5820 237
3632 1599 194
2469 3200 818
6941 7871 566
7096 4363 731
3140 5867 954
2426 5813 908
7090 5155 342
9527 7737 502
3575 2585 470
1039 4610 745
6210 2428 339
1461 2276 138
5704 3391 164
9262 9972 824
4282 8440 254
666 8712 180
2839 1948 13
8332 9692 618
7307 9904 937
6772 7100 192
2591 1200 160
1587 5358 506
8682 8825 863
1586 1373 198
3155 3807 120
3935 9448 51
5081 9226 70
3815 8729 833
6940 6545 788
5096 9137 514
3845 1792 840
1693 4463 602
7522 3197 214
9407 8994 638
1759 832 550
9783 1094 994
1050 3926 79
7244 8121 708
4991 2988 918
5771 3211 710
2543 5669 953
7446 6044 975
5590 4409 303
1006 111 271
9908 472 964
1972 154 263
2018 5359 947
353 400 34
9321 2907 149
467 7945 456
9288 8194 628
4476 4039 572
4987 2422 996
4903 2348 253
9373 4000 971
5482 4307 546
1218 1143 6
8583 4515 326
7494 5979 101
3237 7925 71
7670 8688 483
2420 6808 416
2786 9784 943
1411 8587 30
177 6035 600
217 1575 451
1092 9065 788
560 1072 418
8459 5532 488
8888 7070 601
4565 7944 460
4716 3940 843
1602 2048 703
9972 1974 708
714 388 951
3527 760 515
1369 1092 839
1162 1392 193
5762 1583 435
9356 1726 153
8243 1679 455
1893 6244 715
4787 4040 243
6476 7903 758
2400 1012 481
2930 5238 450
9653 1222 793
7580 5516 894
6663 1338 219
3840 5658 805
9536 6518 741
1696 6809 768
9973 94 368
8475 5530 116
6562 6503 334
4712 136 496
6549 7067 608
6170 6 483
308 3362 873
1067 1186 683
7137 8887 390
1383 2396 491
2141 8383 88
6115 6939 196
1976 6465 992
7070 4376 362
215 741 965
4954 4855 695
4032 1833 381
329 2237 229
8241 1809 367
1234 3816 731
607 912 562
2827 9588 277
277 8139 965
9258 1034 525
4453 5441 166
8747 1510 999
4923 3332 849
4287 4816 674
9308 6752 23
7954 4405 943
3486 6436 486
3584 2320 388
3730 1233 604
8359 6288 847
6126 4738 213
2662 9421 408
5382 4635 709
890 2455 268
1445 7092 349
2642 4772 822
9027 8269 288
7488 3787 745
2191 1625 794
5801 2057 34
7609 3361 78
6782 9866 591
1092 1813 352
2605 8403 449
946 4288 781
4472 9497 149
328 8620 336
8397 7862 464
2899 182 319
3068 2083 28
2293 2690 538
6239 4992 465
2641 263 275
330 9666 197
2567 5521 835
860 2086 518
5528 3904 363
4293 9692 206
2760 8363 89
4684 6144 283
694 354 414
6976 2784 465
3342 6867 493
5171 1282 750
3677 6780 591
5890 4497 119
8306 4054 857
779 4381 522
712 5736 287
4235 8563 893
2242 6271 210
2916 1974 659
6238 4104 430
5035 2468 669
7642 1451 144
3497 4933 75
9797 1665 832
4560 2076 727
3182 2488 804
2723 657 550
2633 8760 485
304 776 241
204 8629 425
4995 6090 290
3102 3340 793
5463 6468 572
6416 870 623
2027 2807 331
1650 6243 239
1346 631 600
3607 5365 556
477 8114 158
23 89 391
6892 2516 58
7593 3153 956
9928 4465 403
2224 1237 160
9497 9118 660
3057 2321 987
672 9014 287
3418 9422 786
4624 8460 389
2431 4344 144
1612 9433 577
1085 9758 203
8414 3614 874
2528 9007 861
7109 4421 221
3987 4948 621
5832 8830 828
8876 702 109
477 4592 623
1112 7311 341
4575 1819 427
8977 8396 884
8333 1552 833
7683 7545 608
7898 2466 507
3982 4809 421
2435 2523 521
8868 9681 258
5488 974 214
2339 7546 457
8907 5581 371
8287 2541 655
485 4002 874
6408 6212 796
701 5007 54
72 2672 533
3463 1173 362
699 5931 660
1671 9654 277
5776 8008 858
3160 7310 618
5949 220 277
7659 5547 796
7471 10 531
4781 6608 103
4015 2569 815
8779 521 421
483 2896 373
9496 5175 84
5930 3973 297
163 2125 122
7896 8963 615
3810 7076 412
3645 3168 962
7687 585 814
1800 4597 367
2892 9238 156
299 660 150
670 2377 694
2789 8754 780
2680 6346 679
3635 976 846
3774 6810 869
6693 5896 229
562 9556 856
2066 6549 75
1802 1783 127
62 4371 281
9124 8462 171
4599 3198 285
57 3734 5
8290 717 566
3082 4433 892
1365 628 463
9063 1491 59
3437 5317 766
962 2162 723
7663 6194 342
1841 4412 29
4732 5887 839
8264 7552 215
383 9829 986
9132 1309 456
6337 3772 946
2752 1979 866
7607 2856 731
4183 1613 303
3813 9530 623
1669 6615 989
4076 1327 832
9698 9113 500
6653 462 919
1232 2545 941
9472 3233 341
4110 2048 713
1088 1648 434
9740 4209 341
6064 7019 803
854 9263 247
520 7624 418
5705 5121 181
2653 8402 61
7341 5133 334
4408 2855 879
9135 5709 219
4767 183 432
5450 9578 150
8045 1992 477
597 1165 720
4631 8209 570
8256 8180 820
8520 9303 908
3585 7887 477
3651 6455 502
2514 3034 536
5275 3185 495
2338 7672 238
1560 8877 520
8646 6742 958
9490 2382 223
2491 8220 783
476 368 669
3032 9540 786
884 1501 928
5650 12 486
194 629 812
8643 3528 89
4730 7374 421
1066 5089 361
6345 5598 91
491 7519 845
3568 5109 712
2013 3766 193
1127 7325 979
3661 2484 785
9450 7500 61
4797 9739 534
5922 8622 318
4218 1111 517
1384 3273 144
9677 3607 620
1680 5679 347
5216 5898 155
1038 1841 299
1178 7437 445
208 1618 47
1515 1020 474
110 3884 869
319 4403 752
4568 8614 911
6060 57 626
935 2043 616
1288 8703 634
3872 3697 963
1960 3298 905
8002 2726 818
4486 6596 115
8976 978 621
4724 4393 68
5514 5658 943
4628 2044 412
70 5382 227
4959 3920 17
7884 9202 844
281 582 159
1883 1721 753
6079 5331 693
3376 6581 975
2286 1681 934
6582 5263 899
3311 4067 417
2871 400 534
4850 2426 496
1169 4402 617
1305 5317 281
1654 8277 29
7195 2947 233
2667 3742 996
7888 4587 422
1730 1171 125
6799 8133 248
8526 6491 817
1105 4865 203
8732 7943 849
3795 8199 638
3395 2346 500
1082 5626 479
479 6386 275
6947 2015 172
6290 834 223
2170 2540 539
1512 5164 583
3715 1482 382
847 4588 138
6283 6970 436
4870 6441 14
9555 4695 503
4081 3149 422
4124 7969 50
6322 4266 86
2554 4953 212
4949 84 125
6755 6486 304
9105 471 792
7884 9660 964
7219 1685 277
2035 8942 798
1608 8394 482
7597 2183 271
5631 836 61
3929 349 501
351 8351 766
8074 8388 806
8163 132 102
2620 916 242
9801 7290 267
4485 6172 282
6315 4161 862
1078 7365 103
2883 5497 739
9056 3399 81
6513 2716 794
493 2313 813
9900 7867 526
5885 2531 854
1499 3783 394
2566 2468 205
2484 5824 565
4006 9874 496
8018 834 514
1484 8375 968
297 6339 153
823 9529 317
5668 5412 590
6349 3703 909
8781 5812 349
131 4759 720
3389 797 781
5381 5724 658
2316 826 641
8775 6707 527
146 8795 434
5246 8829 102
1677 4584 49
1721 7641 121
8270 5898 495
9143 9946 878
4007 6142 582
3797 4806 752
7424 5952 883
403 9418 102
2502 6163 331
3032 819 42
1317 3417 302
7829 4503 786
8030 753 251
4669 879 573
4066 1424 738
4154 9047 700
4176 7745 594
8455 7296 723
8518 8271 349
1543 3740 144
1947 6359 73
5519 8107 668
5374 8696 989
9972 2190 925
6085 145 550
8064 113 3
2232 6516 378
3480 1064 238
4298 4747 19
6929 3565 59
2012 5867 875
3526 5073 50
9668 4262 910
8739 5773 666
2008 7188 906
8904 7372 672
316 8330 337
3675 5613 926
2427 1343 194
3594 5522 542
417 2488 155
5136 7914 566
2437 8464 971
314 9118 474
662 2420 375
632 6006 748
9806 5550 18
5773 3706 498
7185 2290 412
7312 7239 313
8772 460 503
9077 473 929
865 8432 805
2106 9941 840
9913 6967 961
3281 5717 554
8992 4116 722
8811 7220 598
2971 5121 805
2628 9577 961
3786 9878 31
5924 9135 922
5174 5420 624
5466 9730 207
2077 3168 732
2480 1766 689
2600 7834 577
8760 7826 230
7873 3765 909
7567 5594 309
1780 3540 139
2963 2245 758
5962 7199 226
2290 1270 247
5514 2121 585
9939 8152 782
4428 2013 578
4776 5648 208
6420 7625 26
7161 6278 982
2543 6476 780
104 5697 168
340 3905 344
1325 9733 259
8516 2740 374
9246 2545 568
8813 681 556
3548 9185 731
966 837 642
6314 2215 370
6591 1628 589
1585 5096 140
580 9251 158
2199 2512 563
1096 5943 489
6611 9047 943
446 9551 419
8649 318 286
8871 1477 2
799 7923 818
3231 7368 505
2122 2771 173
2386 1945 469
9670 7290 54
7802 5489 81
6534 7646 451
7947 7388 648
3929 43 965
6137 916 603
2372 3029 788
3599 5929 427
1364 6659 968
9538 7014 137
1479 532 40
6544 8311 264
2456 8057 191
8234 12 172
9877 7222 53
819 9879 693
7517 2029 897
4799 350 534
5175 1410 957
2444 7022 513
3271 669 510
2961 6442 175
9858 6584 127
4921 1043 222
279 2104 826
1809 5820 252
3605 2459 865
5245 2188 935
1268 728 820
4812 5675 166
1027 6193 877
366 5 274
7115 121 7
4554 9478 703
2258 2906 90
5505 1538 992
6436 6911 632
1699 7664 331
7428 702 711
4709 6631 291
4742 344 312
8482 4778 212
3973 8714 459
4605 7653 679
798 9501 436
6301 4288 422
2902 764 423
9426 6951 932
3547 2047 995
8771 1318 141
5113 8525 79
5481 2093 155
301 5791 87
8311 1106 227
2814 8030 918
1009 2216 983
334 8047 694
9756 4076 799
524 2167 73
673 8311 455
6113 5752 738
8450 230 531
3938 8701 15
2751 7361 353
7545 4108 392
4160 8214 989
6208 7554 926
2324 5042 705
5772 5629 45
2739 267 401
8225 9473 360
5102 1018 331
6969 5661 71
7943 7566 109
9707 5690 31
1814 1876 725
7143 4568 522
867 7383 645
8730 2059 198
9044 7716 241
7776 2639 401
2186 404 351
2665 6384 234
3487 2532 114
3916 9175 79
8655 7909 826
5410 1788 936
2938 7775 805
2258 4386 357
3369 7818 307
3239 5289 944
779 6927 593
2668 1724 662
7384 5888 841
2016 1389 337
6862 4931 379
9289 9912 489
2822 4905 123
5783 5038 726
9835 5413 363
7177 9516 286
9986 5579 894
3474 5639 584
3811 2731 899
5492 3771 572
281 107 683
5921 3243 373
2753 7962 402
906 5747 634
7494 9963 264
9272 4411 362
6062 2035 764
9650 7270 67
2604 5665 38
7790 7987 764
1541 6600 245
6124 5980 743
6194 3129 11
1798 6585 108
3498 3919 126
1001 8697 127
5518 3005 473
7933 2313 516
181 6618 479
734 9355 336
9493 3586 864
5156 6378 292
931 7062 894
147 3800 851
2227 2454 432
7968 678 105
2302 3361 871
5586 8341 91
1574 3769 113
8927 4825 159
7388 528 292
3838 1434 880
1648 9593 774
509 3335 485
8678 3330 431
9505 3669 307
9149 7698 232
2408 5988 826
6091 3198 518
9162 2236 610
9681 2085 287
2800 6510 255
5860 8531 198
7557 6119 526
4998 823 191
6562 3869 292
1929 7505 796
3132 1389 586
2869 5292 977
3142 6670 374
164 4707 192
7039 5806 86
67 4805 271
1990 9581 256
2405 447 155
5071 2097 229
6158 3463 996
4865 4434 456
9590 1104 851
97 3856 314
281 2781 35
9073 8142 253
528 8291 140
6080 5473 25
3684 4608 136
953 2565 71
2606 2433 786
6210 2022 429
7904 5109 868
7522 446 663
8416 4076 157
5151 6664 453
258 4343 405
9591 1465 673
2724 5756 644
5775 3183 156
9317 2822 605
8559 7184 270
6688 2203 533
5763 1237 752
7573 8960 178
826 8130 717
6547 4479 372
9702 1917 130
3497 8799 30
2655 2397 532
716 9672 986
1253 2270 415
8353 1922 344
9236 6442 715
7163 2362 257
9500 4260 397
6289 3871 700
4367 493 266
2680 556 21
2370 1081 82
4590 664 270
2620 4941 987
3153 2929 773
2294 7104 776
1543 4492 557
2735 5233 641
9848 5429 514
8699 5283 221
501 4049 142
3484 5308 226
4012 5516 743
8034 7213 322
8037 9808 326
5380 27 755
5446 2343 467
3782 7083 680
5574 753 956
6994 2172 219
744 3496 219
2077 6047 803
2655 904 710
6022 2785 818
8977 8904 691
1965 3541 401
1875 4288 452
657 8710 666
548 9589 527
2284 6970 436
9960 1606 443
9537 5040 757
2507 3137 149
5099 745 320
5284 2968 363
7695 6343 328
7302 9513 182
4885 5497 245
4185 4223 50
438 517 456
2569 7602 525
9732 1188 272
7603 4201 466
6614 5135 204
8900 5482 215
1285 233 759
1920 3003 257
3353 756 387
5092 9069 668
8157 7828 163
1072 4343 568
5541 3380 166
9771 8053 117
1674 4700 794
6749 9770 943
9699 6963 808
2284 7431 679
8254 1806 684
2508 8409 279
9359 7887 868
874 1211 895
5560 3081 109
7989 1099 968
5280 8734 679
9586 812 614
1045 2554 285
6015 6425 813
1785 2827 504
9334 2849 63
1879 233 83
5664 453 628
8992 8562 732
1819 8826 839
1492 9236 8
4245 5801 562
9005 2683 205
7701 3134 804
1105 714 859
4669 1409 135
3079 2148 269
6194 6947 778
399 746 960
4827 3098 326
1020 3746 623
3477 415 314
166 4670 678
2395 4587 961
2799 2170 55
2180 5198 996
7249 259 263
8132 7364 234
5158 3563 427
2101 5460 79
1674 1210 218
16 6310 581
3795 6782 984
1012 5172 447
1990 5732 720
2520 99 772
2850 7857 769
4664 9569 790
4259 8025 659
2148 2647 243
2723 4353 20
983 5221 206
2225 5418 29
6897 8470 830
5802 7094 607
8023 3616 279
8302 9113 598
1860 2872 64
1125 9076 363
1303 131 148
8101 8709 335
3087 1777 917
4797 5439 734
1774 2652 778
1689 8122 383
849 5092 362
5937 3902 111
9426 8964 868
2158 9385 107
3811 2859 172
8526 7203 293
8252 8230 361
7128 3653 218
320 671 415
8786 8186 480
7562 2930 16
263 8494 641
7094 4446 769
1202 4001 388
3237 3346 461
1011 4801 228
2747 6350 838
3001 9432 802
2661 5260 20
6260 1327 437
5825 8763 349
36 2154 632
5841 4649 126
612 9565 841
941 3016 443
28 7434 627
4956 660 2
6631 9117 56
5892 7605 782
8899 6961 419
173 1734 502
9003 7515 189
9079 7101 45
161 6983 152
3998 3377 389
8429 3578 455
6705 1828 702
6752 2144 891
4487 2459 44
5355 6385 150
591 1998 905
9925 201 207
9228 8685 168
9808 5728 337
4752 690 156
5042 6772 936
3364 1052 499
5277 1240 862
1214 2111 262
4394 833 484
4204 6998 615
6772 3082 842
6779 8463 184
8787 6285 513
7196 1616 698
7162 5423 339
5072 779 40
9362 5839 182
2600 159 203
1901 504 628
1538 9198 576
4931 5297 678
2554 9973 268
2867 6215 265
7621 4206 504
1863 8957 49
2319 974 833
3125 4526 283
2230 2600 112
7779 7432 565
495 9818 688
9483 134 405
4388 3115 848
8389 1107 132
2449 6621 321
4041 6852 526
9840 3142 892
7689 784 71
8958 6597 280
1594 1703 825
3173 2101 426
5740 9378 171
6645 1915 433
6411 709 820
2073 7977 614
8096 857 329
3727 6941 299
9546 4790 661
6517 8408 920
4673 2236 308
1668 907 561
5903 4241 290
4881 7636 404
2391 1000 286
7327 4576 653
5435 6806 666
7188 8847 299
9564 1160 139
29 6642 343
1088 9517 535
1291 431 369
4671 5685 362
4332 716 877
6800 4845 31
2679 2925 647
4089 208 616
5649 1579 834
762 2415 203
2189 4115 689
9279 3598 991
1227 1559 508
9729 6997 430
7192 727 75
4617 9685 126
7463 8308 89
9439 8757 449
9506 178 136
5282 804 938
9907 1785 26
3514 6683 798
2180 8694 283
241 2824 981
1576 7536 219
3941 1758 19
3497 927 586
3126 332 100
4034 2559 954
5785 3857 264
8666 5703 360
4359 5952 383
4753 4853 239
4932 5901 428
4118 3040 498
77 5230 180
9653 1528 219
1522 4142 428
6609 877 996
1210 3368 484
3702 5213 707
10 4732 93
5422 7314 245
6141 7415 673
